"Course number","Course title","Registration restrictions","Units","Type","Section","Session","Time","Days","Seats","Registered","Waitlist","Instructor","Room"
"LAW-101w","Law and the U.S. Constitution in Global History","","4.0 units","Lecture","02680R","001","3:30-4:30pm","Mon, Wed","75","12","0","Samuel Erman","LAW7"
"","","","","Discussion","02661R","001","2:00-2:50pm","Monday","25","6","0","Samuel Erman","VKC109"
"","","","","Discussion","02662R","001","11:00-11:50am","Tuesday","25","0","0","Samuel Erman","SOS B47"
"","","","","Discussion","02663R","001","1:00-1:50pm","Wednesday","25","3","0","Samuel Erman","THH B9"
"","","","","Discussion","02664R","001","2:00-2:50pm","Wednesday","25","2","0","Samuel Erman","THH B9"
"","","","","Discussion","02665R","001","10:00-10:50am","Thursday","25","1","0","Samuel Erman","SOS B48"
"LAW-200x","Law and Society","","4.0 units","Lecture","02600R","001","2:00-3:50pm","Monday","90","38","0","Susan Estrich","WPH B27"
"","","","","Discussion","02601R","001","1:00-1:50pm","Monday","48","21","0","Susan Estrich","SOS B41"
"","","","","Discussion","02602R","001","4:00-4:50pm","Monday","31","12","0","Susan Estrich","SOS B41"
"LAW-300","Concepts in American Law","","4.0 units","Lecture","02607D","001","2:00-3:50pm","Tue, Thu","60","11","0","Ron Garet","LAW130"
"LAW-301","The Constitution in Transnational Perspective","","4.0 units","Lecture","02670D","001","3:30-4:50pm","Mon, Wed","1","1","0","Samuel Erman","LAW7"
"LAW-403","Mental Health Law","","4.0 units","Lecture","02620R","001","3:30-6:20pm","Thursday","40","30","0","James Preis","THH118"
"LAW-444","Civil and Political Rights and Liberties","","4.0 units","Lecture","52115R","001","12:30-1:50pm","Tue, Thu","40","38","0","Arthur Auerbach","VKC101"
"LAW-503","Contracts","M","2.0-4.0 units","Lecture","03029D","991","10:00-11:50am","Mon, Wed","65","61","0","Gillian Hadfield","LAW103"
"","","","","Lecture","04006D","968","6:30-8:20pm","Monday","95","0","0","James Curtis, Deborah Call-Bulluck","LAW1"
"LAW-504","Criminal Law","M","3.0 units","Lecture","03030D","991","8:30-9:45am","Wed, Fri","65","63","0","Jody Armour","LAW103"
"","","","","Lecture","03034D","991","3:30-4:45pm","Mon, Wed","65","61","0","Emily Ryo","LAW3"
"","","","","Lecture","03037D","991","8:30-9:45am","Mon, Wed","35","0","0","Tom Griffith","LAW130, LAW130"
"","","","","Lecture","03039D","991","2:00-3:15pm","Tue, Thu","65","62","0","Jody Armour","LAW101"
"LAW-507","Property","M","4.0 units","Lecture","03050D","991","10:00-11:50am","Tue, Thu","65","61","0","Ed Mc Caffery","LAW103"
"","","","","Lecture","03054D","991","2:00-3:50pm","Tue, Thu","65","61","0","Scott Altman","LAW101"
"","","","","Lecture","03059D","991","10:00-11:50am","Tue, Thu","65","61","0","Scott Altman","LAW1"
"LAW-508","Constitutional Law: Structure","M","2.0-5.0 units","Lecture","03060D","991","10:00-11:15am","Mon, Wed","70","61","0","David Cruz","LAW1"
"LAW-509","Torts I","M","4.0 units","Lecture","03074D","991","10:00-10:50am","TuWThF","65","60","0","Scott Bice","LAW101"
"LAW-511a","Legal Writing","M","1.0-2.0 units","Lecture","04003D","968","8:00-8:50am","Tue, Thu","12","0","0","Helen Choi, Deborah Call-Bulluck","LAW103"
"LAW-511b","Legal Writing","PM","1.0-2.0 units","Lecture","04004D","968","8:00-8:50am","Tue, Thu","12","0","0","Joo Kim, Deborah Call-Bulluck","LAW101"
"LAW-516","Legal Research, Writing, and Advocacy II","PM","2.0 units","Lecture","03151D","991","8:00-8:50am","Tue, Thu","13","12","0","Michael Moulton, Elizabeth Carroll, Brian Raphael, Paul Moorman","LAW2"
"","","","","Lecture","03152D","991","8:00-8:50am","Tue, Thu","13","12","0","Paul Zimmerman, Elizabeth Carroll, Brian Raphael, Judy Davis","LAW7"
"","","","","Lecture","03153D","991","8:00-8:50am","Tue, Thu","13","12","0","Christen Sproule, Elizabeth Carroll, Brian Raphael, Ryan Metheny","LAW12"
"","","","","Lecture","03154D","991","8:00-8:50am","Tue, Thu","13","13","0","Rachel Pressman, Elizabeth Carroll, Brian Raphael, Pauline Aranas","LAW114"
"","","","","Lecture","03155D","991","8:00-8:50am","Tue, Thu","13","13","0","Queena Mewers, Elizabeth Carroll, Brian Raphael, Ryan Metheny","LAW118"
"","","","","Lecture","03156D","991","11:00-11:50am","Tue, Thu","13","13","0","Natalie Kouyoumdjian, Elizabeth Carroll, Brian Raphael, Pauline Aranas","LAW107"
"","","","","Lecture","03157D","991","11:00-11:50am","Tue, Thu","13","11","0","Rebecca Lonergan, Elizabeth Carroll, Brian Raphael","LAW2"
"","","","","Lecture","03158D","991","11:00-11:50am","Tue, Thu","13","11","0","Jiae Moon, Elizabeth Carroll, Brian Raphael, Judy Davis","LAW7"
"","","","","Lecture","03159D","991","11:00-11:50am","Tue, Thu","13","12","0","Hilari Hanamaikai, Elizabeth Carroll, Brian Raphael","LAW106"
"","","","","Lecture","03160D","991","11:00-11:50am","Tue, Thu","13","13","0","Dermot Edmundson, Elizabeth Carroll, Brian Raphael, Cynthia Prado-Guyer","LAW118"
"","","","","Lecture","03161D","991","4:00-4:50pm","Tue, Thu","13","13","0","Jonathan Libby, Elizabeth Carroll, Brian Raphael, Diana Jaque","LAW1"
"","","","","Lecture","03162D","991","4:00-4:50pm","Tue, Thu","13","12","0","John Lee, Elizabeth Carroll, Brian Raphael, Paul Moorman","LAW7"
"","","","","Lecture","03163D","991","4:00-4:50pm","Tue, Thu","13","12","0","Karen Ephraim, Elizabeth Carroll, Brian Raphael, Karen Skinner","LAW114"
"","","","","Lecture","03164D","991","4:00-4:50pm","Tue, Thu","13","12","0","Corinn Jackson, Elizabeth Carroll, Brian Raphael, Cynthia Prado-Guyer","LAW118"
"","","","","Lecture","03165D","991","4:00-4:50pm","Tue, Thu","13","13","0","Jamaul Cannon, Elizabeth Carroll, Brian Raphael, Karen Skinner","LAW130"
"LAW-530","Business Literacy","M","3.0 units","Lecture","03170D","991","2:00-3:15pm","Mon, Wed","90","79","0","Michael Chasalow","LAW3"
"LAW-531","Ethical Issues for Public Interest, Government and Criminal Lawyers","M","3.0 units","Lecture","03171D","991","2:00-3:25pm","Mon, Wed","55","52","0","Clare Pastore","LAW101"
"LAW-532","Constitutional Law: Rights","M","3.0 units","Lecture","03172D","991","2:00-3:15pm","Mon, Wed","55","55","0","David Cruz","LAW103"
"LAW-550","Business Law Advisor","M","1.0 units, max 4","Lecture","03190R","941",":-:am","TBA","25","19","0","Donald Scotten",", OFFICE"
"LAW-600","Taxation","M","3.0-4.0 units","Lecture","03221R","941","10:00-11:50am","Mon, Wed","100","92","0","Tom Griffith","LAW7"
"LAW-601","Advanced Legal Writing Practicum","M","2.0-4.0 units","Lecture","03222D","941","2:00-3:15pm","Mon, Wed","12","12","0","Catherine Coleman","LAW106"
"","","","","Lecture","03229D","941","2:00-3:15pm","Tue, Thu","12","12","0","Susan Wright","LAW2"
"LAW-602","Criminal Procedure","M","2.0-4.0 units","Lecture","03223R","941","5:00-7:50pm","Monday","85","84","0","Stan Blumenfeld","LAW7"
"LAW-603","Business Organizations","M","3.0-5.0 units","Lecture","03224R","941","9:00-10:50am","Tue, Thu","70","54","0","Donald Scotten","LAW7"
"LAW-607","Gifts, Wills, and Trusts","M","3.0-4.0 units","Lecture","03237R","941","8:00-9:50am","Mon, Wed","110","103","0","Reynolds Cafferata","LAW7"
"LAW-608","Evidence","M","3.0-4.0 units","Lecture","03240R","941","2:00-3:50pm","Mon, Wed","80","58","0","Richard Drooyan","LAW1"
"LAW-612","California Civil Procedure","M","2.0-4.0 units","Lecture","03248R","941","6:30-9:00pm","Monday","40","22","0","Daniel Buckley","LAW103"
"LAW-614","Accounting for Lawyers","M","2.0-3.0 units","Lecture","03250R","941","3:30-4:45pm","Mon, Wed","50","14","0","Howard Levy","LAW103"
"LAW-623","Family Law","M","3.0-4.0 units","Lecture","03263R","941","4:00-6:30pm","Monday","25","22","0","Anne Kiley","LAW101"
"LAW-624","Water Law","M","2.0 units","Lecture","03203R","331","5:00-7:30pm","Monday","20","8","0","Eric Garner, Joseph Byrne","LAW2"
"LAW-625","Remedies","M","3.0-4.0 units","Lecture","03265R","941","5:30-6:45pm","Tue, Thu","70","42","0","","LAW7"
"LAW-626","Advanced International Business Dispute Resolution","PM","2.0 units","Lecture","03266R","504","4:00-5:50pm","Mon, Thu","20","1","0","Nathan O' Malley","LAW12"
"LAW-628","Real Estate Finance Problems","M","1.0 unit","Lecture","03268R","941","9:20-9:50am","Thursday","14","6","0","Philip Nichols","LAW130"
"","","","","Lecture","03269R","941",":-:am","TBA","25","1","0","Oscar Sandoval",", OFFICE"
"LAW-629","Real Estate Law and Business II (Finance and Development)","M","2.0-5.0 units","Lecture","03270R","941","10:00-11:50am","Tue, Thu","30","26","0","George Lefcoe","LAW130"
"","","","","Lecture","03271R","941","10:00-11:50am","Tue, Thu","30","3","0","George Lefcoe","LAW130"
"LAW-631","Mediation Clinic II","PM","2.0-4.0 units","Lecture","03272D","941","TBA","TBA","20","19","0","Lisa Klerman","OFFICE"
"LAW-632","Business for Lawyers","M","2.0-4.0 units","Lecture","03273R","941","5:00-6:50pm","Wednesday","50","13","0","Vijay Sekhon","LAW7"
"LAW-635","Employment Discrimination Law","M","2.0-4.0 units","Lecture","03278R","941","2:00-3:15pm","Mon, Wed","35","28","0","Stephen Rich","LAW7"
"LAW-642","Secured Transactions","M","2.0-4.0 units","Lecture","03295R","941","5:00-6:15pm","Mon, Wed","30","22","0","Warren Loui","LAW103"
"LAW-644","Corporate Taxation","PM","2.0-4.0 units","Lecture","03297D","941","4:00-5:50pm","Tue, Thu","35","35","0","Edward Kleinbard D","LAW101"
"LAW-648","Topics in Entertainment Law","M","1.0-4.0 units, max 8"
"","Intellectual Property Licensing","","2.0","Lecture","03301R","941","8:00-9:50am","Monday","30","19","0","Brian Peck","LAW101"
"LAW-649","Insurance","M","2.0-3.0 units","Lecture","03312R","941","5:00-7:40pm","Monday","25","6","0","Peter Rosen","LAW3"
"LAW-650","Entertainment Law","M","2.0-4.0 units","Lecture","03313R","941","10:00-11:50am","Thursday","80","14","0","Larry Stein","LAW3"
"LAW-651","Entertainment Law Practicum","M","1.0-2.0 units, max 8","Lecture","03314D","941",":-:am","TBA","1","0","0","Scott Altman",", OFFICE"
"","","","","Lecture","03315D","941","TBA","TBA","3","3","0","Scott Altman","OFFICE"
"LAW-655","Environmental Law","M","2.0-4.0 units","Lecture","03318R","941","8:00-9:50am","Wednesday","20","16","0","James Arnone, Michael Romey","LAW114"
"LAW-658","Mergers and Acquisitions","PM","1.0-4.0 units","Lecture","03322D","941","6:00-8:50pm","Wednesday","97","97","0","Donald Scotten, Mark Easton","LAW3"
"LAW-660","Trademark Law in Practice","PM","1.0-4.0 units","Lecture","03326R","941","4:00-5:50pm","Monday","20","15","0","Christopher Larkin","LAW1"
"LAW-665","Art Law","M","2.0-3.0 units","Lecture","03336R","941","2:00-2:50pm","Tue, Thu","25","23","0","Randol Schoenberg","LAW107"
"LAW-668","Hale Moot Court Oral Advocacy","PM","1.0 unit","Lecture","03339D","941",":-:am","TBA","40","40","0","Rebecca Lonergan",", OFFICE"
"LAW-669","Moot Court Supervision","M","1.0-3.0 units, max 6","Lecture","03340R","941",":-:am","TBA","11","11","0","Rebecca Lonergan",", OFFICE"
"LAW-670","Advanced Moot Court Oral Arguments","M","1.0-3.0 units, max 3","Lecture","03343D","941","TBA","TBA","6","6","0","Rebecca Lonergan","OFFICE"
"LAW-671","Advanced Moot Court Briefs","M","1.0-3.0 units","Lecture","03342D","941",":-:am","TBA","6","6","0","Rebecca Lonergan",", OFFICE"
"LAW-673","Deal Strategy, Structure and Negotiation","M","4.0 units","Lecture","03344D","941","10:00-11:50am","Mon, Wed","28","27","0","Alan Levine","LAW130"
"LAW-674","Advanced Secured Transactions Workshop","M","1.0 unit","Lecture","03347R","573",":-:am","TBA","16","8","0","Robert Rasmussen",", OFFICE"
"LAW-678b","Review of Law and Social Justice Staff","PM","1.0-4.0 units","Lecture","03355D","941",":-:am","TBA","24","23","0","David Cruz",", OFFICE"
"LAW-679","Review of Law and Social Justice Writing","M","1.0-4.0 units, max 4","Lecture","03930D","941",":-:am","TBA","1","1","0","Jody Armour",", OFFICE"
"","","","","Lecture","03931D","941",":-:am","TBA","1","1","0","Emily Ryo",", OFFICE"
"","","","","Lecture","03932D","941",":-:am","TBA","1","1","0","Heidi Rummel",", OFFICE"
"","","","","Lecture","03935D","941",":-:am","TBA","2","2","0","Elyn Saks",", OFFICE"
"LAW-680b","Review of Law and Social Justice Editing","PM","1.0-4.0 units","Lecture","03359R","941",":-:am","TBA","13","12","0","David Cruz",", OFFICE"
"LAW-681","Analytical Methods for Lawyers","M","2.0-4.0 units","Lecture","03361R","941","2:00-3:15pm","Tue, Thu","40","9","0","Mark Weinstein","LAW1"
